Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Brazil,Included / International,Price / International,Compare At Price / International,Status
cobertor-iws-huggy,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_3_9497ad6d-62dd-4edb-be42-ab1e1c73b08a.png?v=1693498158,6,,,,,,,,,,,,,,,,,,,,,,,,
cobertor-iws-huggy,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_7.png?v=1693498158,7,,,,,,,,,,,,,,,,,,,,,,,,
cobertor-iws-huggy,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Huggy_icon_8.png?v=1693498158,8,,,,,,,,,,,,,,,,,,,,,,,,
pillow-top-iws-toque-de-pluma-luxury,Pillow Top IWS Toque de Pluma Luxury,"<p style=""font-size: 18px; color: #741254;"" data-mce-style=""font-size: 18px; color: #741254;""><strong>Já pensou em ter o conforto de uma cama de hotel 5 estrelas, na sua casa? O Pillow Top IWS Toque de Pluma Luxury te proporciona essa experiência! 🛏️</strong></p>
<p>O Pillow Top IWS Toque de Pluma Luxury atua como uma camada extra de conforto na sua cama, trazendo uma sensação única de conforto e bem-estar. Proporciona aquela sensação única de ""dormir nas nuvens"". ☁️</p>
<ul>
<li>Feito com <strong>AirFiber</strong>, um enchimento de alto padrão composto por um blend de <strong>fibras com toque de pluma</strong>, que proporciona um conforto único</li>
<li>
<strong>Elásticos</strong> nas laterais, facilitando a fixação na cama.<br>
</li>
<li>Revestimento em <strong>malha</strong>, dando um toque de sofisticação.</li>
<li>Conforto <strong>ultra macio</strong>.</li>
</ul>",eÓtica,,Pillow Top,dormir,true,Tamanho,Solteiro (1.00x2.00m),,,,,'3255,0.0,,0,deny,manual,99.90,,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_1.1.png?v=1693498343,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
pillow-top-iws-toque-de-pluma-luxury,,,,,,,,,Casal (1.40x2.00m),,,,,'3428,0.0,,0,deny,manual,99.90,,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_3.png?v=1693498343,2,,,,,,,,,,,,,,,,,kg,,,,,,,
pillow-top-iws-toque-de-pluma-luxury,,,,,,,,,Queen (1.60x2.00m),,,,,'3250,0.0,,0,deny,manual,99.90,,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_2.png?v=1693498343,3,,,,,,,,,,,,,,,,,kg,,,,,,,
pillow-top-iws-toque-de-pluma-luxury,,,,,,,,,Super King (2.00x2.00m),,,,,'3252,0.0,,0,deny,manual,99.90,,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_4.png?v=1693498343,4,,,,,,,,,,,,,,,,,kg,,,,,,,
pillow-top-iws-toque-de-pluma-luxury,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_6.png?v=1693498343,5,,,,,,,,,,,,,,,,,,,,,,,,
pillow-top-iws-toque-de-pluma-luxury,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/PillowTop_Site_5_12136200-7ea5-47b4-8801-7261ca764123.png?v=1693498343,6,,,,,,,,,,,,,,,,,,,,,,,,
travesseiro-cervical-original,Travesseiro IWS Cervical Original®,"<p style=""font-size: 18px; color: #ec009c; text-align: left;""><span style=""color: #741254;""><strong>Você tem dificuldades para dormir? Acorda de manhã com dores no pescoço e/ou na coluna?</strong></span><span style=""color: #741254;""></span></p>
<p style=""font-size: 18px; color: #ec009c; text-align: left;""><span style=""color: #741254;""><strong>Se sim, este travesseiro foi feito para você!</strong></span></p>
<p>O <strong>Travesseiro IWS Cervical Original®</strong> proporciona um apoio ideal para a sua coluna! Desenvolvido por especialistas em sono, ele possui um formato <strong>ergonômico</strong>, deixando seu pescoço na posição ideal durante toda a noite de sono! </p>
<ul>
<li>
<strong>Espuma Premium</strong>: Feito com Memory Foam IWS, é um produto de alta tecnologia que absorve o impacto ao deitar.</li>
</ul>
<ul>
<li>
<strong>Alívio de pressão</strong>: A espuma Memory Foam IWS auxilia no alívio dos pontos de pressão da cabeça e pescoço, permitindo que você acorde descansado e sem dores.</li>
</ul>",eÓtica,,Travesseiros,dormir,true,Title,Default Title,,,,,'3067,1000.0,,0,deny,manual,69.90,119.90,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Cervical_SP_Logo.png?v=1693498404,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
travesseiro-cervical-original,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Cervical_Original_6.png?v=1693498404,2,,,,,,,,,,,,,,,,,,,,,,,,
travesseiro-cervical-original,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Cervical_Original_4.png?v=1693498404,3,,,,,,,,,,,,,,,,,,,,,,,,
travesseiro-cervical-original,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Cervical_Original_3.png?v=1693498404,4,,,,,,,,,,,,,,,,,,,,,,,,
sleeptea-iws-150g,Sleeptea® IWS - Suplemento funcional para um melhor sono,"<p style=""font-size: 18px; color: #741254;"" data-mce-style=""font-size: 18px; color: #741254;""><span style=""color: #741254;"" data-mce-style=""color: #741254;""><strong>Muito mais que um simples chá, Sleeptea® é um super blend de nutrientes e aminoácidos para auxiliar na performance do seu sono.</strong></span></p>
<p>Sleeptea® foi desenvolvido com tecnologia de ponta. Sua composição é um super blend de vitaminas, nutrientes e aminoácidos, ideais para quem busca uma noite perfeita de sono reparador.</p>
<ul>
<li>Auxilia na<b> indução do sono;</b>
</li>
<li>Auxilia na melhora da <strong>qualidade do sono</strong>;</li>
<li>Auxílio <strong>neuromuscular</strong>;</li>
<li>Promove o <strong>relaxamento</strong>;</li>
<li>Delicioso<strong data-mce-fragment=""1""> sabor de maracujá &amp; camomila </strong>(polpa de maracujá e camomila em pó);</li>
<li>Formato <strong>em pó</strong>, para um preparo <strong>rápido e fácil</strong>;</li>
<li>Contém: magnésio, cromo, vitamina B6, vitamina B1, triptofano, taurina, glicina, treonina.</li>
</ul>",eÓtica,,"",dormir,true,Sabor,Maracujá e Camomila,,,,,'3146,300.0,,0,deny,manual,49.90,109.90,true,true,,https://cdn.shopify.com/s/files/1/0817/2686/5699/products/Sleeptea_fotos_camomila-maracuja_4_1de2344d-f51c-46c5-aa18-161c94a02c6d.png?v=1693498446,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,active
